id,opt,code,nfeval,min,elapsed
AE,LN_SBPLX,FTOL_REACHED,66,9325.384608899012,0.003096345
AF,LN_BOBYQA,FTOL_REACHED,20,9325.427305066894,0.000519016
AF,LN_COBYLA,FTOL_REACHED,32,9325.42730506689,0.000660617
AF,LN_NELDERMEAD,FTOL_REACHED,38,9325.427305072126,0.000726382
AF,LN_PRAXIS,MAXEVAL_REACHED,100000,9325.427305066894,1.671677379
AF,LN_SBPLX,FTOL_REACHED,59,9325.427305072126,0.00121856
AG,LN_BOBYQA,FTOL_REACHED,125,182.05557666928962,0.070157162
AG,LN_COBYLA,FTOL_REACHED,97666,182.0555934735051,3.687484126
AG,LN_NELDERMEAD,FTOL_REACHED,213,182.05557638927706,0.007642047
AG,LN_PRAXIS,FTOL_REACHED,202,182.05557638807852,0.007474522
AG,LN_SBPLX,FTOL_REACHED,392,182.05557638948903,0.014601815
AI,LN_BOBYQA,FTOL_REACHED,16,567.1627611890526,0.000419858
AI,LN_COBYLA,FTOL_REACHED,24,567.1627611890962,0.000481261
AI,LN_NELDERMEAD,FTOL_REACHED,30,567.1627611958671,0.000567157
AI,LN_PRAXIS,MAXEVAL_REACHED,100000,567.1627611890464,1.566928921
AI,LN_SBPLX,FTOL_REACHED,50,567.1627611890962,0.000915785
AJ,LN_BOBYQA,FTOL_REACHED,15,20.624498318094115,0.000384969
AJ,LN_COBYLA,FTOL_REACHED,22,20.624498319077365,0.000433344
AJ,LN_NELDERMEAD,FTOL_REACHED,30,20.624498319077365,0.000456437
AJ,LN_PRAXIS,MAXEVAL_REACHED,100000,20.624498318093885,1.343293734
AJ,LN_SBPLX,FTOL_REACHED,50,20.624498318125248,0.000781237
AK,LN_BOBYQA,FTOL_REACHED,12,22.179890196982296,0.000291226
AK,LN_COBYLA,FTOL_REACHED,26,22.179890197087406,0.000466596
AK,LN_NELDERMEAD,FTOL_REACHED,28,22.179890199565552,0.0004944
AK,LN_PRAXIS,MAXEVAL_REACHED,100000,22.17989019698182,1.363371545
AK,LN_SBPLX,FTOL_REACHED,43,22.179890199565552,0.000731595
AL,LN_BOBYQA,FTOL_REACHED,109,237721.76877453906,1.978668009
AL,LN_COBYLA,FTOL_REACHED,1005,237721.76877450067,17.05986376
AL,LN_NELDERMEAD,FTOL_REACHED,216,237721.768774521,3.697739824
AL,LN_PRAXIS,FTOL_REACHED,130,237721.7687744949,2.510082979
AL,LN_SBPLX,FTOL_REACHED,194,237721.76877450343,3.344045951
AM,LN_BOBYQA,FTOL_REACHED,47,237585.55341516962,0.782934187
AM,LN_COBYLA,FTOL_REACHED,60,237585.55341518408,0.956445159
AM,LN_NELDERMEAD,FTOL_REACHED,89,237585.5534152394,1.967943597
AM,LN_PRAXIS,FTOL_REACHED,117,237585.55341516866,1.827882538
AM,LN_SBPLX,FTOL_REACHED,136,237585.5534151782,2.151275498
AN,LN_BOBYQA,FTOL_REACHED,105,174744.54441462524,1.546233131
AN,LN_COBYLA,FTOL_REACHED,375,174744.54441493217,5.29054845
AN,LN_NELDERMEAD,FTOL_REACHED,216,174744.5444145848,3.274550969
AN,LN_PRAXIS,FTOL_REACHED,125,174744.54441463493,1.826374144
AN,LN_SBPLX,FTOL_REACHED,177,174744.5444145715,2.652159573
